               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  81,            0.044594,            0.071623,            0.006509,             0.93776,              0.9152,             0.94794,             0.45917,            0.042847,            0.066275,           0.0060334,            0.008416,            0.008416,            0.008416
                  82,            0.042116,            0.069708,           0.0066286,             0.93072,             0.89896,             0.93109,              0.4396,            0.043975,            0.066927,           0.0061422,           0.0083962,           0.0083962,           0.0083962
                  83,            0.043843,            0.069037,           0.0065101,              0.9158,             0.88388,              0.9179,             0.42322,            0.046385,            0.068427,           0.0062729,           0.0083764,           0.0083764,           0.0083764
                  84,            0.044491,            0.066748,           0.0066217,             0.92372,             0.92158,             0.94646,             0.48411,            0.040955,             0.06625,           0.0061812,           0.0083566,           0.0083566,           0.0083566
                  85,             0.04371,            0.065742,           0.0066683,             0.91274,             0.90621,              0.9257,             0.43055,            0.045282,            0.068225,           0.0061368,           0.0083368,           0.0083368,           0.0083368
                  86,            0.045241,            0.067999,           0.0067091,             0.94189,             0.90812,             0.94409,             0.47938,              0.0414,            0.066163,           0.0061373,            0.008317,            0.008317,            0.008317
                  87,            0.044848,            0.069184,           0.0065118,             0.89858,             0.89254,             0.90591,             0.36642,            0.049939,            0.067833,           0.0060595,           0.0082972,           0.0082972,           0.0082972
                  88,            0.043132,            0.070284,           0.0059033,             0.94392,             0.92368,             0.94785,             0.48096,            0.041867,             0.06469,            0.005539,           0.0082774,           0.0082774,           0.0082774
                  89,            0.044018,            0.066398,           0.0062165,             0.91077,             0.90923,             0.91332,             0.38327,            0.049695,            0.067163,           0.0054469,           0.0082576,           0.0082576,           0.0082576
                  90,            0.044686,            0.069217,           0.0064156,             0.94213,             0.91689,             0.95385,             0.47661,            0.041769,            0.065398,           0.0061518,           0.0082378,           0.0082378,           0.0082378
                  91,            0.044933,            0.068408,           0.0063416,             0.88115,             0.86008,             0.87253,             0.32085,             0.05523,            0.069861,            0.006354,            0.008218,            0.008218,            0.008218
                  92,            0.044795,             0.06768,           0.0061596,             0.93458,              0.9133,             0.94972,             0.46245,            0.042286,            0.066033,           0.0057269,           0.0081982,           0.0081982,           0.0081982
